id,title,options,correct_option,type,response,phase,deadline_min
93,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Μπήκα στη θέση του παιδιού μου και κατανόησα γιατί νιώθει όπως νιώθει.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
94,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Παρηγόρησα το παιδί μου.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
95,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Ακούσαμε ο ένας τον άλλο και συζητήσαμε, ώστε να βρούμε κοινή προσέγγιση.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
96,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Βοήθησα το παιδί μου να οργανωθεί για να κάνει όσα αναμένονται από αυτό.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
97,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Έκφρασα την τρυφερότητα προς το παιδί μου, με χαμόγελο ή αγκαλιά.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
98,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Είπα στο παιδί μου ότι το εκτιμώ για όσα προσπαθεί και καταφέρνει.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
99,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Ενθάρρυνα το παιδί μου να εκφραστεί ακόμα κι αν διαφωνούσα.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
100,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Εξήγησα στο παιδί μου γιατί υπάρχουν κανόνες και πρέπει να ακολουθούνται.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
101,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Εκφράστηκα με έντονο τρόπο, ώστε να πείσω το παιδί μου για αυτό που πίστευα.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
102,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Αφαίρεσα από το παιδί μου προνόμια ως τιμωρία.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
103,"Διαπροσωπική Αλληλεπίδραση | Στο πλαίσιο της αλληλεπίδρασης με το παιδί σου, σε πιο βαθμό ισχύουν τα πιο κάτω αναφορικά με τον τρόπο που επικοινωνήσατε: | Απέφυγα να συζητήσω κάποια δύσκολη πτυχή του ζητήματος.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
104,"Απόηχος της αλληλεπίδρασης | Μετά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω: | Ένιωσα ικανοποίηση για την κατάληξη της συζήτησης.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
105,"Απόηχος της αλληλεπίδρασης | Μετά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω: | Ζήτησα βοήθεια και υποστήριξη από κάποιον άλλο.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
106,"Απόηχος της αλληλεπίδρασης | Μετά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω: | Είχα ανήσυχες σκέψεις ή συναισθήματα για αυτό που συνέβηκε.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
107,"Απόηχος της αλληλεπίδρασης | Μετά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω: | Ένιωσα την ανάγκη να φάω ή να πιω για να αισθανθώ καλύτερα.","{Δεν ισχύει καθόλου  0,Ισχύει σε μέτριο βαθμό  1,Ισχύει πάρα πολύ  2}",,parent,single,,30
108,"Απόηχος της αλληλεπίδρασης | Μετά την αλληλεπίδραση με το παιδί σου, σε ποιο βαθμό ισχύουν τα πιο κάτω: | Σκεφτόμουν τι συνέβηκε ώστε να βελτιώσω τον τρόπο που αλληλεπιδρούμε στο μέλλον.","{Δεν ισχύει καθόλου 0,Ισχύει σε μέτριο βαθμό 1,Ισχύει πάρα πολύ 2}",,parent,single,,30
